config,identity,lse_c,lse_d,av_offset,csim
hybrid_lp,id01,5.470548629760742,14.070502281188965,1.0,0.9543348532170057
hybrid_lp,id02,8.0156888961792,14.593111038208008,1.0,0.8960813852692289
hybrid_lp,id03,6.1596221923828125,14.466477394104004,1.0,0.9547723756570902
hybrid_lp,id04,5.834877014160156,14.58377456665039,0.0,0.9214616609471185
hybrid_lp,id05,7.1793437004089355,14.041474342346191,1.0,0.9523607370709735
hybrid_lp,id06,5.258156776428223,13.979419708251953,1.0,0.9405184676205474
hybrid_lp,id07,3.3888158798217773,14.400017738342285,0.0,0.9549549921814885
hybrid_lp,id08,5.380168914794922,14.731454849243164,1.0,0.938200194455151
hybrid_lp,id09,4.150221824645996,14.086580276489258,0.0,0.953097380431635
hybrid_lp,id10,5.923550605773926,14.484041213989258,1.0,0.9409172503676798
lp_only,id01,0.6496458053588867,14.91215705871582,-15.0,0.9540081830539018
lp_only,id02,1.061807632446289,14.632512092590332,11.0,0.8971157306520028
lp_only,id03,0.6588211059570312,14.706811904907227,-9.0,0.9507416971672709
lp_only,id04,0.8934183120727539,15.185101509094238,-15.0,0.910743013441007
lp_only,id05,0.5258541107177734,15.008243560791016,10.0,0.9485752408736238
lp_only,id06,0.7386331558227539,14.212759971618652,-15.0,0.9407920885022566
lp_only,id07,0.6293458938598633,14.561264038085938,4.0,0.8918578088204172
lp_only,id08,0.5524454116821289,14.529423713684082,-7.0,0.9268323483860763
lp_only,id09,0.9331426620483398,14.231489181518555,-8.0,0.9634344396280482
lp_only,id10,0.9896221160888672,15.62741756439209,-15.0,0.9513948962409445
wav2lip,id01,7.072509288787842,14.442450523376465,-2.0,0.8325452386455204
wav2lip,id02,8.554677963256836,14.748335838317871,-2.0,0.7624731242576915
wav2lip,id03,7.096037864685059,14.404121398925781,-2.0,0.8526224181993579
wav2lip,id04,7.646002769470215,14.53868579864502,-2.0,0.7849658216178976
wav2lip,id05,8.355422973632812,14.807557106018066,-2.0,0.852383932515161
wav2lip,id06,7.3377790451049805,14.48399829864502,-2.0,0.8500808485380936
wav2lip,id07,5.888369560241699,15.07861042022705,-2.0,0.82017492585712
wav2lip,id08,6.705631256103516,14.769899368286133,-2.0,0.7672129657214266
wav2lip,id09,6.8438825607299805,14.409934043884277,-2.0,0.8734143062767733
wav2lip,id10,7.056629180908203,14.914732933044434,-2.0,0.8573314735050023
